tipo,precio,m2,precio_m2,zona,features
Departamento,550000,40,13750,San Martín Centro,40 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,750000,86,8721,San Martín Centro,86 m² tot. 3 amb. 2 dorm. 2 baños
Departamento,800000,60,13333,Villa Ballester,60 m² tot. 2 amb. 1 dorm. 1 baño 1 coch.
Departamento,480000,40,12000,General San Martín,40 m² tot. 2 amb. 1 dorm. 1 baño
Casa,900000,200,4500,José León Suárez,200 m² tot. 4 amb. 3 dorm. 3 baños 3 coch.
Casa,1200000,170,7059,San Martín Centro,170 m² tot. 4 amb. 3 dorm. 2 baños
Casa,900000,132,6818,Villa Ballester,132 m² tot. 3 amb. 2 dorm. 1 baño
Casa,1300000,150,8667,Villa Ballester,150 m² tot. 3 amb. 2 dorm. 2 baños 1 coch.
Casa,1650000,400,4125,Villa Ballester,400 m² tot. 4 amb. 3 dorm. 2 baños 4 coch.
Casa,1200000,90,13333,Villa Ballester,90 m² tot. 3 amb. 2 dorm. 1 baño
Casa,2000000,250,8000,Villa Ballester,250 m² tot. 4 amb. 3 dorm. 2 baños 1 coch.
Casa,850000,290,2931,Villa Libertad,290 m² tot. 3 amb. 2 dorm. 1 baño
Casa,1000000,249,4016,José León Suárez,249 m² tot. 3 amb. 2 dorm. 1 baño 2 coch.
Casa,720000,75,9600,Villa Libertad,75 m² tot. 3 amb. 2 dorm. 1 baño
Casa,750000,72,10417,Villa Ballester,72 m² tot. 3 amb. 2 dorm. 1 baño
Casa,1600000,433,3695,Villa Ballester,433 m² tot. 4 amb. 3 dorm. 1 baño 1 coch.
Casa,1500000,222,6757,Villa Maipu,222 m² tot. 6 amb. 5 dorm. 2 baños
Casa,1400000,98,14286,Villa Ballester,98 m² tot. 3 amb. 2 dorm. 1 baño 1 coch.
Casa,1400000,100,14000,San Andrés,100 m² tot. 3 amb. 2 dorm. 2 baños 1 coch.
Casa,1100000,110,10000,Villa Ballester,110 m² tot. 4 amb. 3 dorm. 1 baño 1 coch.
Casa,950000,150,6333,Villa Lynch,150 m² tot. 4 amb. 3 dorm. 1 baño
Casa,1500000,122,12295,Villa Ballester,122 m² tot. 5 amb. 4 dorm. 1 baño
Casa,1900000,164,11585,Villa Ballester,164 m² tot. 3 amb. 2 dorm. 1 baño 1 coch.
Casa,1250000,270,4630,General San Martín,270 m² tot. 4 amb. 3 dorm. 1 baño 3 coch.
Casa,800000,70,11429,José León Suárez,70 m² tot. 2 amb. 1 dorm. 1 baño
Casa,900000,75,12000,General San Martín,75 m² tot. 3 amb. 2 dorm. 1 baño 1 coch.
Casa,750000,90,8333,José León Suárez,90 m² tot. 3 amb. 2 dorm. 1 baño 2 coch.
Casa,3000000,298,10067,San Martín Centro,298 m² tot. 5 amb. 4 dorm. 3 baños 1 coch.
Casa,800000,88,9091,José León Suárez,88 m² tot. 4 amb. 3 dorm. 1 baño 1 coch.
Casa,1200000,100,12000,San Andrés,100 m² tot. 4 amb. 3 dorm. 1 baño 1 coch.
Casa,1300000,120,10833,Villa Ballester,120 m² tot. 3 amb. 2 dorm. 1 baño 1 coch.
Casa,1400000,125,11200,Villa Ballester,125 m² tot. 4 amb. 3 dorm. 3 baños 1 coch.
Casa,1300000,157,8280,José León Suárez,157 m² tot. 4 amb. 3 dorm. 2 baños
Casa,1500000,160,9375,Villa Ballester,160 m² tot. 4 amb. 3 dorm. 1 baño 1 coch.
Casa,3700000,596,6208,San Andrés,596 m² tot. 11 amb. 7 dorm. 4 baños 4 coch.
Casa,800000,170,4706,José León Suárez,170 m² tot. 4 amb. 3 dorm. 1 baño 1 coch.
Casa,900000,170,5294,José León Suárez,170 m² tot. 6 amb. 5 dorm. 1 baño 1 coch.
Casa,890000,150,5933,Loma Hermosa,150 m² tot. 4 amb. 3 dorm. 1 baño 2 coch.
Casa,900000,81,11111,Villa Maipu,81 m² tot. 3 amb. 2 dorm. 2 baños 1 coch.
Casa,900000,155,5806,Villa Ballester,155 m² tot. 3 amb. 2 dorm. 1 baño 1 coch.
Casa,950000,234,4060,Villa Ballester,234 m² tot. 3 amb. 2 dorm. 1 baño 2 coch.
Casa,800000,448,1786,Villa Ballester,448 m² tot. 2 amb. 1 dorm. 1 baño
Casa,800000,80,10000,Loma Hermosa,80 m² tot. 3 amb. 2 dorm. 1 baño
Casa,1300000,120,10833,General San Martín,120 m² tot. 3 amb. 2 dorm. 1 baño 1 coch.
Casa,800000,88,9091,José León Suárez,88 m² tot. 4 amb. 3 dorm. 1 baño 1 coch.
Casa,1200000,100,12000,San Andrés,100 m² tot. 4 amb. 3 dorm. 1 baño 1 coch.
Casa,1300000,120,10833,Villa Ballester,120 m² tot. 3 amb. 2 dorm. 1 baño 1 coch.
Casa,1400000,125,11200,Villa Ballester,125 m² tot. 4 amb. 3 dorm. 3 baños 1 coch.
Casa,1300000,157,8280,José León Suárez,157 m² tot. 4 amb. 3 dorm. 2 baños
Casa,1500000,160,9375,Villa Ballester,160 m² tot. 4 amb. 3 dorm. 1 baño 1 coch.
Casa,3700000,596,6208,San Andrés,596 m² tot. 11 amb. 7 dorm. 4 baños 4 coch.
Casa,800000,170,4706,José León Suárez,170 m² tot. 4 amb. 3 dorm. 1 baño 1 coch.
Casa,900000,170,5294,José León Suárez,170 m² tot. 6 amb. 5 dorm. 1 baño 1 coch.
Casa,890000,150,5933,Loma Hermosa,150 m² tot. 4 amb. 3 dorm. 1 baño 2 coch.
Casa,900000,81,11111,Villa Maipu,81 m² tot. 3 amb. 2 dorm. 2 baños 1 coch.
Casa,900000,155,5806,Villa Ballester,155 m² tot. 3 amb. 2 dorm. 1 baño 1 coch.
Casa,950000,234,4060,Villa Ballester,234 m² tot. 3 amb. 2 dorm. 1 baño 2 coch.
Casa,800000,448,1786,Villa Ballester,448 m² tot. 2 amb. 1 dorm. 1 baño
